Backward Tilt | AccelY=-2664
Backward Tilt | AccelY=-2800
Backward Tilt | AccelY=-2676
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2848
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2660
Backward Tilt | AccelY=-2692
Backward Tilt | AccelY=-2712
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2780
Backward Tilt | AccelY=-2640
Backward Tilt | AccelY=-2812
Backward Tilt | AccelY=-2772
Backward Tilt | AccelY=-2760
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2652
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2628
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2688
Backward Tilt | AccelY=-2644
Backward Tilt | AccelY=-2708
Backward Tilt | AccelY=-2704
Backward Tilt | AccelY=-2708
Backward Tilt | AccelY=-2672
Backward Tilt | AccelY=-2800
Backward Tilt | AccelY=-2696
Backward Tilt | AccelY=-2708
Backward Tilt | AccelY=-2748
Backward Tilt | AccelY=-2808
Backward Tilt | AccelY=-2628
Backward Tilt | AccelY=-2784
Backward Tilt | AccelY=-2672
Backward Tilt | AccelY=-2804
Backward Tilt | AccelY=-2676
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2696
Backward Tilt | AccelY=-2796
Backward Tilt | AccelY=-2708
Backward Tilt | AccelY=-2796
Backward Tilt | AccelY=-2712
Backward Tilt | AccelY=-2660
Backward Tilt | AccelY=-2804
Backward Tilt | AccelY=-2772
Backward Tilt | AccelY=-2676
Backward Tilt | AccelY=-2740
Backward Tilt | AccelY=-2664
Backward Tilt | AccelY=-2708
Backward Tilt | AccelY=-2772
Backward Tilt | AccelY=-2680
Backward Tilt | AccelY=-2828
Backward Tilt | AccelY=-2544
Backward Tilt | AccelY=-2880
Backward Tilt | AccelY=-2772
Backward Tilt | AccelY=-2784
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2824
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2696
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2716
Backward Tilt | AccelY=-2740
Backward Tilt | AccelY=-2824
Backward Tilt | AccelY=-2660
Backward Tilt | AccelY=-2656
Backward Tilt | AccelY=-2716
Backward Tilt | AccelY=-2696
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2684
Backward Tilt | AccelY=-2704
Backward Tilt | AccelY=-2808
Backward Tilt | AccelY=-2752
Backward Tilt | AccelY=-2628
Backward Tilt | AccelY=-2592
Backward Tilt | AccelY=-2656
Backward Tilt | AccelY=-2624
Backward Tilt | AccelY=-2968
Backward Tilt | AccelY=-2588
Backward Tilt | AccelY=-2704
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2628
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2716
Backward Tilt | AccelY=-2676
Backward Tilt | AccelY=-2660
Backward Tilt | AccelY=-2684
Backward Tilt | AccelY=-2748
Backward Tilt | AccelY=-2680
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2688
Backward Tilt | AccelY=-2640
Backward Tilt | AccelY=-2636
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2660
Backward Tilt | AccelY=-2624
Backward Tilt | AccelY=-2612
Backward Tilt | AccelY=-2636
Backward Tilt | AccelY=-2600
Backward Tilt | AccelY=-2708
Backward Tilt | AccelY=-2748
Backward Tilt | AccelY=-2708
Backward Tilt | AccelY=-2708
Backward Tilt | AccelY=-2684
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2788
Backward Tilt | AccelY=-2644
Backward Tilt | AccelY=-2780
Backward Tilt | AccelY=-2792
Backward Tilt | AccelY=-2760
Backward Tilt | AccelY=-2772
Backward Tilt | AccelY=-2844
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2768
Backward Tilt | AccelY=-2668
Backward Tilt | AccelY=-2680
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2792
Backward Tilt | AccelY=-2800
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2672
Backward Tilt | AccelY=-2716
Backward Tilt | AccelY=-2628
Backward Tilt | AccelY=-2828
Right Tilt | AccelX=2024
Backward Tilt | AccelY=-2740
Backward Tilt | AccelY=-2788
Backward Tilt | AccelY=-2752
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2792
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2760
Backward Tilt | AccelY=-2832
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2768
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2756
Backward Tilt | AccelY=-2760
Backward Tilt | AccelY=-2644
Right Tilt | AccelX=2048
Backward Tilt | AccelY=-2660
Backward Tilt | AccelY=-2612
Backward Tilt | AccelY=-2712
Backward Tilt | AccelY=-2652
Backward Tilt | AccelY=-2644
Backward Tilt | AccelY=-2620
Backward Tilt | AccelY=-2652
Backward Tilt | AccelY=-2276
Backward Tilt | AccelY=-2888
Backward Tilt | AccelY=-3048
Backward Tilt | AccelY=-3236
Backward Tilt | AccelY=-3192
Backward Tilt | AccelY=-2296
Right Tilt | AccelX=4680
Right Tilt | AccelX=8476
Right Tilt | AccelX=8892
Right Tilt | AccelX=8936
Right Tilt | AccelX=9236
Right Tilt | AccelX=9412
Right Tilt | AccelX=9224
Right Tilt | AccelX=9360
Right Tilt | AccelX=9532
Right Tilt | AccelX=9440
Right Tilt | AccelX=9380
Right Tilt | AccelX=9172
Right Tilt | AccelX=5956
Right Tilt | AccelX=3348
Left Tilt | AccelX=-7888
Left Tilt | AccelX=-9012
Left Tilt | AccelX=-8980
Left Tilt | AccelX=-9060
Left Tilt | AccelX=-9020
Left Tilt | AccelX=-8944
Left Tilt | AccelX=-8724
Left Tilt | AccelX=-8444
Left Tilt | AccelX=-2676
Left Tilt | AccelX=-2940
Right Tilt | AccelX=2944
Right Tilt | AccelX=3312
Right Tilt | AccelX=3540
Right Tilt | AccelX=3520
Right Tilt | AccelX=3916
Right Tilt | AccelX=3404
Right Tilt | AccelX=3204
Right Tilt | AccelX=2468
Forward Tilt | AccelY=12600
Forward Tilt | AccelY=12800
Left Tilt | AccelX=-2572
Left Tilt | AccelX=-2476
Left Tilt | AccelX=-5532
Left Tilt | AccelX=-2736
Forward Tilt | AccelY=15388
Right Tilt | AccelX=2256
Forward Tilt | AccelY=14696
Forward Tilt | AccelY=13948
Forward Tilt | AccelY=13836
Forward Tilt | AccelY=14328
Forward Tilt | AccelY=13712
Forward Tilt | AccelY=14684
Forward Tilt | AccelY=14584
Forward Tilt | AccelY=13924
Left Tilt | AccelX=-2020
Left Tilt | AccelX=-2056
Left Tilt | AccelX=-2572
Forward Tilt | AccelY=14092
Left Tilt | AccelX=-3124
Forward Tilt | AccelY=13892
Left Tilt | AccelX=-2336
Left Tilt | AccelX=-2148
Left Tilt | AccelX=-2364
Forward Tilt | AccelY=13944
Left Tilt | AccelX=-3828
Left Tilt | AccelX=-6564
Left Tilt | AccelX=-3736
Left Tilt | AccelX=-2148
Left Tilt | AccelX=-3372
Right Tilt | AccelX=13204
Right Tilt | AccelX=16092
Right Tilt | AccelX=18112
Right Tilt | AccelX=14820
Right Tilt | AccelX=13236
Right Tilt | AccelX=15252
Right Tilt | AccelX=11596
Right Tilt | AccelX=10192
Right Tilt | AccelX=8408
Right Tilt | AccelX=4464
Right Tilt | AccelX=2768
Right Tilt | AccelX=2868
Right Tilt | AccelX=3848
Right Tilt | AccelX=4768
Right Tilt | AccelX=3308
Backward Tilt | AccelY=-12524
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
Stable | AccelX=0, AccelY=0
